tiempo_ms,adc,voltaje
0,1350,1.09
100,1362,1.10
200,1380,1.11
300,1410,1.13
400,1500,1.21
500,1600,1.29
3027,0,0.0
3127,0,0.0
3227,0,0.0
3327,0,0.0
3427,0,0.0
3527,0,0.0
3627,0,0.0
3727,0,0.0
3827,0,0.0
3927,0,0.0
4027,0,0.0
4127,0,0.0
4227,0,0.0
4327,0,0.0
4427,0,0.0
4527,0,0.0
4627,0,0.0
4727,0,0.0
4827,0,0.0
4927,0,0.0
5027,0,0.0
5127,0,0.0
5227,0,0.0
5327,0,0.0
5427,0,0.0
5527,0,0.0
5627,0,0.0
5727,0,0.0
5827,0,0.0
5927,0,0.0
6027,0,0.0
6127,0,0.0
6227,0,0.0
6327,0,0.0
6427,0,0.0
6527,0,0.0
6627,0,0.0
6727,0,0.0
6827,0,0.0
6927,0,0.0
7027,0,0.0
7127,0,0.0
7227,0,0.0
7327,0,0.0
7427,0,0.0
7527,0,0.0
7627,0,0.0
7727,0,0.0
7827,0,0.0
7927,0,0.0
8027,0,0.0
8127,0,0.0
8227,0,0.0
8327,0,0.0
8427,0,0.0
8527,0,0.0
8627,0,0.0
8727,0,0.0
8827,0,0.0
8927,0,0.0
9027,0,0.0
9127,0,0.0
9227,0,0.0
9327,0,0.0
9427,0,0.0
9527,0,0.0
9627,0,0.0
9727,0,0.0
9827,0,0.0
9927,0,0.0
10027,0,0.0
10127,0,0.0
10227,0,0.0
10327,0,0.0
10427,0,0.0
10527,0,0.0
10627,0,0.0
10727,0,0.0
10827,0,0.0
10927,0,0.0
11027,0,0.0
11127,0,0.0
11227,0,0.0
11327,0,0.0
11427,0,0.0
11527,0,0.0
11627,0,0.0
11727,0,0.0
11827,0,0.0
11927,0,0.0
12027,0,0.0
12127,0,0.0
12227,0,0.0
12327,0,0.0
12427,0,0.0
12527,0,0.0
12627,0,0.0
12727,0,0.0
12827,0,0.0
12927,0,0.0
13027,0,0.0
13127,0,0.0
13227,0,0.0
13327,0,0.0
13427,0,0.0
13527,0,0.0
13627,0,0.0
13727,0,0.0
13827,0,0.0
13927,0,0.0
14027,0,0.0
14127,0,0.0
14227,0,0.0
14327,0,0.0
14427,0,0.0
14527,0,0.0
14627,0,0.0
14727,0,0.0
14827,0,0.0
14927,0,0.0
15027,0,0.0
15127,0,0.0
15227,0,0.0
15327,0,0.0
15427,0,0.0
15527,0,0.0
15627,0,0.0
15727,0,0.0
15827,0,0.0
15927,0,0.0
16027,0,0.0
16127,0,0.0
16227,0,0.0
16327,0,0.0
16427,0,0.0
16527,0,0.0
16627,0,0.0
16727,0,0.0
16827,0,0.0
16927,0,0.0
17027,0,0.0
17127,0,0.0
17227,0,0.0
17327,0,0.0
17427,0,0.0
17527,0,0.0
17627,0,0.0
17727,0,0.0
17827,0,0.0
17927,0,0.0
18027,0,0.0
18127,0,0.0
18227,0,0.0
18327,0,0.0
18427,0,0.0
18527,0,0.0
18627,0,0.0
18727,0,0.0
18827,0,0.0
18927,0,0.0
19027,0,0.0
19127,0,0.0
19227,0,0.0
19327,0,0.0
19427,0,0.0
19527,0,0.0
19627,0,0.0
19727,0,0.0
19827,0,0.0
19927,0,0.0
20027,0,0.0
20127,0,0.0
20227,0,0.0
20327,0,0.0
20427,0,0.0
20527,0,0.0
20627,0,0.0
20727,0,0.0
20827,0,0.0
20927,0,0.0
21027,0,0.0
21127,0,0.0
21227,0,0.0
21327,0,0.0
21427,0,0.0
21527,0,0.0
21627,0,0.0
21727,0,0.0
21827,0,0.0
21927,0,0.0
22027,0,0.0
22127,0,0.0
22227,0,0.0
22327,0,0.0
22427,0,0.0
22527,0,0.0
22627,0,0.0
22727,0,0.0
22827,0,0.0
22927,0,0.0
23027,0,0.0
23127,0,0.0
23227,0,0.0
23327,0,0.0
23427,0,0.0
23527,0,0.0
23627,0,0.0
23727,0,0.0
23827,0,0.0
23927,0,0.0
24027,0,0.0
24127,0,0.0
24227,0,0.0
24327,0,0.0
24427,0,0.0
24527,0,0.0
24627,0,0.0
24727,0,0.0
24827,0,0.0
24927,0,0.0
25027,0,0.0
25127,0,0.0
25227,0,0.0
25327,0,0.0
25427,0,0.0
25527,0,0.0
25627,0,0.0
25727,0,0.0
25827,0,0.0
25927,0,0.0
26027,0,0.0
26127,0,0.0
26227,0,0.0
26327,0,0.0
26427,0,0.0
26527,0,0.0
26627,0,0.0
26727,0,0.0
26827,0,0.0
26927,0,0.0
27027,0,0.0
27127,0,0.0
27227,0,0.0
27327,0,0.0
27427,0,0.0
27527,0,0.0
27627,0,0.0
27727,0,0.0
27827,0,0.0
27927,0,0.0
28027,0,0.0
28127,0,0.0
28227,0,0.0
28327,0,0.0
28427,0,0.0
28527,0,0.0
28627,0,0.0
28727,0,0.0
28827,0,0.0
28927,0,0.0
29027,0,0.0
29127,0,0.0
29227,0,0.0
29327,0,0.0
29427,0,0.0
29527,0,0.0
29627,0,0.0
29727,0,0.0
29827,0,0.0
29927,0,0.0
30027,0,0.0
30127,0,0.0
30227,0,0.0
30327,0,0.0
30427,0,0.0
30527,0,0.0
30627,0,0.0
30727,0,0.0
30827,0,0.0
30927,0,0.0
31027,0,0.0
31127,0,0.0
31227,0,0.0
31327,0,0.0
31427,0,0.0
31527,0,0.0
31627,0,0.0
31727,0,0.0
31827,0,0.0
31927,0,0.0
32027,0,0.0
32127,0,0.0
32227,0,0.0
32327,0,0.0
32427,0,0.0
32527,0,0.0
32627,0,0.0
32727,0,0.0
32827,0,0.0
32927,0,0.0
33027,0,0.0
33127,0,0.0
33227,0,0.0
33327,0,0.0
33427,0,0.0
33527,0,0.0
33627,0,0.0
33727,0,0.0
33827,0,0.0
33927,0,0.0
34027,0,0.0
34127,0,0.0
34227,0,0.0
34327,0,0.0
34427,0,0.0
34527,0,0.0
34627,0,0.0
34727,0,0.0
34827,0,0.0
34927,0,0.0
35027,0,0.0
35127,0,0.0
35227,0,0.0
35327,0,0.0
35427,0,0.0
35527,0,0.0
35627,0,0.0
35727,0,0.0
35827,0,0.0
35927,0,0.0
36027,0,0.0
36127,0,0.0
36227,0,0.0
36327,0,0.0
36427,0,0.0
36527,0,0.0
36627,0,0.0
36727,0,0.0
36827,0,0.0
36927,0,0.0
37027,0,0.0
37127,0,0.0
37227,0,0.0
37327,0,0.0
37427,0,0.0
37527,0,0.0
37627,0,0.0
37727,0,0.0
37827,0,0.0
37927,0,0.0
38027,0,0.0
38127,0,0.0
38227,0,0.0
38327,0,0.0
38427,0,0.0
38527,0,0.0
38627,0,0.0
38727,0,0.0
38827,0,0.0
38927,0,0.0
39027,0,0.0
39127,0,0.0
39227,0,0.0
39327,0,0.0
39427,0,0.0
39527,0,0.0
39627,0,0.0
39727,0,0.0
39827,0,0.0
39927,0,0.0
40027,0,0.0
40127,0,0.0
40227,0,0.0
40327,0,0.0
40427,0,0.0
40527,0,0.0
40627,0,0.0
40727,0,0.0
40827,0,0.0
40927,0,0.0
41027,0,0.0
41127,0,0.0
41227,0,0.0
41327,0,0.0
41427,0,0.0
41527,0,0.0
41627,0,0.0
41727,0,0.0
41827,0,0.0
41927,0,0.0
42027,0,0.0
42127,0,0.0
42227,0,0.0
42327,0,0.0
2927,0,0.0
3027,0,0.0
3127,0,0.0
3227,0,0.0
3327,0,0.0
3427,0,0.0
